this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL2ID = 200,ACM - International Platform,ACM - Plateforme internationale,LEVEL2ID = 200,ACM - International Platform,ACM - Plateforme internationale
LEVEL2ID = 201,"BFM - International Business Development, Investment and Innovation (Chief Trade Commissioner)","BFM - Développement du commerce international, investissement et innovation (Déléguée commerciale en chef)",NA,NA,NA
LEVEL2ID = 202,"CFM - Consular, Security and EM (CSO)","CFM - Consulaire, Sécurité et GU (DPS)",NA,NA,NA
LEVEL2ID = 203,"CORE - Office of Canadian Ombudsperson for Responsible Enterprise / DPD - International Assistance Operations Bureau / JUS - GAC Legal Services / VBD - Office of the Chief Audit Executive / WPSA - Ambassador for Women, Peace and Security / ZID - Inspection, Integrity and Values & Ethics Bureau","CORE - Bureau de l'Ombudsman canadian de la responsabilité des entreprises / DPD - Opérations d'aide internationale / JUS - Services juridiques AMC / VBD - Bureau du dirigeant princ. de l'audit / ZID - Direction générale de l’inspection, de l’intégrité, des valeurs et de l’éthique",NA,NA,NA
LEVEL2ID = 204,MIN - Ministers Offices / DM - Deputy Ministers' Offices / USS,MIN - Bureaux des ministres / DM - Bureaux des sous-ministres / USS,LEVEL2ID = 203,MIN - Ministers Offices / DM - Deputy Ministers' Offices / USS,MIN - Bureaux des ministres / DM - Bureaux des sous-ministres / USS
LEVEL2ID = 205,DCD - Corporate Secretariat,DCD - Secrétaire des affaires ministérielles,NA,NA,NA
LEVEL2ID = 206,DSMX - Summits Management Office,DSMX - Bureau de la gestion des sommets,LEVEL2ID = 205,DSMX - Summits Management Office,DSMX - Bureau de la gestion des sommets
LEVEL2ID = 207,"EGM - Europe, Artic, Middle East and Maghreb","EGM - Europe, Arctique, Moyen-Orient et Maghreb",LEVEL2ID = 206,"EGM - Europe, Arctic, Middle East and Maghreb","EGM - Europe, Arctique, Moyen-Orient et Maghreb"
LEVEL2ID = 208,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP),LEVEL2ID = 207,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP)
LEVEL2ID = 208,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP),LEVEL3ID = 318,HCM - Employees on Foreign Language Training (FRLNG) or in a Special Assignment Pool (SAP),HCM - Employés en formation de langues étrangères (FRLNG) ou bassin d'affectations spéciales (SAP)
LEVEL2ID = 209,HCM - Human Resources,HCM - Ressources Humaines,LEVEL2ID = 208,HCM - Human Resources,HCM - Ressources Humaines
LEVEL2ID = 210,IFM - International Security,IFM - Sécurité internationale,NA,NA,NA
LEVEL2ID = 211,JFM - Legal Affairs,JFM - Affaires légales,NA,NA,NA
LEVEL2ID = 212,KFM - Partnerships for Development Innovation,KFM - Partenariats pour l'innovation dans le développement,NA,NA,NA
LEVEL2ID = 213,LCM - Public Affairs,LCM - Affaires publiques,LEVEL2ID = 213,LCM - Public Affairs,LCM - Affaires publiques
LEVEL2ID = 214,MFM - Global Issues and Development,MFM - Enjeux Mondiaux et du développement,NA,NA,NA
LEVEL2ID = 215,NGM - Americas,NGM - Amériques,LEVEL2ID = 215,NGM - Americas,NGM - Amériques
LEVEL2ID = 216,OGM - Asia Pacific,OGM - Asie-Pacifique,LEVEL2ID = 216,OGM - Asia Pacific,OGM - Asie-Pacifique
LEVEL2ID = 217,PFM - Strategic Policy,PFM - Politique stratégique,NA,NA,NA
LEVEL2ID = 218,"SCM - Corporate Planning, Finance and Information Technology (Chief Financial Officer)","SCM - Planification ministérielle, finance et technologie de l’information (Dirigeant principal des finances)",NA,NA,NA
LEVEL2ID = 219,TFM - Trade Policy and Negotiations,TFM - Politique & négociations commerciales,NA,NA,NA
LEVEL2ID = 220,WGM - Sub-Saharan Africa,WGM - Afrique subsaharienne,LEVEL2ID = 220,WGM - Sub-Saharian Africa,WGM - Afrique subsaharienne
LEVEL2ID = 221,XDD - Office of Protocol,XDD - Bureau du Protocole,LEVEL2ID = 221,XDD - Office of Protocol,XDD - Bureau du Protocole
LEVEL2ID = 999,I cannot find my organizational unit,Je ne trouve pas mon unité organisationnelle,NA,NA,NA
LEVEL3ID = 300,AAD - Platform Corporate Services,AAD - Services ministériels de la plateforme,LEVEL3ID = 301,AAD - Platform Corporate Services,AAD - Services ministériels de la plateforme
LEVEL3ID = 301,"ACM - ADM Office / ABD - Platform Planning, Engagement and Results / AFD - Client Relations and Mission Operations","ACM - Bureau du SMA / ABD - Planification, mobilisation et résultats de la plateforme / AFD - Relations avec les clients et opérations des missions",NA,NA,NA
LEVEL3ID = 302,ARD - Strategic Planning and Stewardship,ARD - Planification stratégique et de l'intendance,LEVEL3ID = 303,ARD - Strategic Planning and Stewardship,ARD - Planification stratégique et de l'intendance
LEVEL3ID = 303,"AWD - Project Delivery, Professional & Technical Services","AWD - Livraison de projet, services professionnels et techniques",NA,NA,NA
LEVEL3ID = 304,BBD - Trade Sectors,BBD - Secteurs commerciaux,LEVEL3ID = 306,BBD - Trade Sectors,BBD - Secteurs commerciaux
LEVEL3ID = 305,BFM - ADM Office / BPD - Trade Portfolio Strategy and Coordination,BFM - Bureau du SMA / BPD - Stratégie et coordination du portefeuille commercial,NA,NA,NA
LEVEL3ID = 306,"BID - Investment, Innovation and Education","BID - Investissement, innovation et éducation",NA,NA,NA
