Public Service Employee Survey Questions	2022 PSES	2020 PSES	2019 PSES	2018 PSES	2017 PSES
I have the tools, technology and equipment I need to do my job.	1	1	N/A	N/A	N/A
The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.	2	2	N/A	N/A	2
My physical environment (e.g., office, workspace) is suitable for my job requirements.	3	3	3	N/A	4
I get the training I need to do my job.	4	4	4	1	5
I have the information, training and equipment I need to ensure my health and safety at work.	5	5	5	N/A	8
I have support at work to balance my work and personal life.	6	6	6	4	9
I get a sense of satisfaction from my work.	7	7	7	5	11
I receive meaningful recognition for work well done.	8	8	8	6	12
I have clear work objectives.	9	9	9	7	13
I know how my work contributes to the achievement of my department’s or agency’s goals.	10	10	10	8	14
Overall, I feel valued at work.	11	11	11	9	15
I am proud of the work that I do.	12	12	12	10	16
I have opportunities to provide input into decisions that affect my work.	13	13	13	11	17
I am encouraged to be innovative or to take initiative in my work.	14	14	14	12	18
I have support at work to provide a high level of service.	15	15	15	13	19
Overall, I like my job.	16	16	16	14	20
I can complete my assigned workload during my regular working hours.	17	17	17	15	21
I feel that the quality of my work suffers because of... constantly changing priorities.	18a	18a	18a	16a	22a
I feel that the quality of my work suffers because of... too many approval stages.	18b	18c	18c	16c	22c
I feel that the quality of my work suffers because of... unreasonable deadlines.	18c	18d	18d	16d	22d
I feel that the quality of my work suffers because of... having to do the same or more work, but with fewer resources.	18d	18e	18e	16e	22e
I feel that the quality of my work suffers because of... high staff turnover.	18e	18f	18f	16f	22f
I feel that the quality of my work suffers because of... overly complicated or unnecessary business processes.	18f	18g	18g	16g	22g
I feel that the quality of my work suffers because of... unreliable technology.	18g	18h	18h	N/A	N/A
I am satisfied with how interpersonal issues are resolved in my work unit.	19	19	20	17	24
In my work unit, every individual is accepted as an equal member of the team.	20	20	21	18	25
In my work unit, individuals behave in a respectful manner.	21	21	22	20	29
The people I work with value my ideas and opinions.	22	22	23	21	N/A
In my work unit, I would feel safe to speak about racism in the workplace without fear of reprisal or negative impact on my career.table 1 note*	23	23	N/A	N/A	N/A
In my work unit, I would feel safe to speak about racism in the workplace without negative impact on my mental health.table 1 note*	24	N/A	N/A	N/A	N/A
My immediate supervisor encourages me to work collaboratively with others outside of my work unit.	25	24	24	N/A	N/A
I receive useful feedback from my immediate supervisor on my job performance.	26	25	25	22	30
I feel that my immediate supervisor supports my career goals.	27	26	N/A	N/A	N/A
My immediate supervisor keeps me informed about the issues affecting my work.	28	27	27	24	32
My immediate supervisor supports the use of flexible work hours (e.g., varying the start and end times of the workday).table 1 note*	29	29	N/A	N/A	N/A
I am satisfied with the quality of supervision I receive.	30	30	31	26	37
When I communicate with my immediate supervisor, I feel free to use the official language of my choice.	31	N/A	28	N/A	33
Senior managers in my department or agency lead by example in ethical behaviour.	32	31	34	29	40
I have confidence in the senior management of my department or agency.	33	32	35	30	41
Senior management in my department or agency makes effective and timely decisions.	34	33	36	31	42
Essential information flows effectively from senior management to staff.	35	34	37	32	44
Senior managers in my department or agency use both official languages in their interactions with employees.	36	35	38	N/A	N/A
My department or agency does a good job of communicating its vision, mission and goals.	37	36	39	33	45
I feel that change is managed well in my department or agency.	38	37	40	N/A	N/A
If I am faced with an ethical dilemma or a conflict between values in the workplace, I know where I can go for help in resolving the situation.	39	38	41	34	47
My department or agency does a good job of promoting values and ethics in the workplace.	40	39	42	35	N/A
I feel I can initiate a formal recourse process (e.g., grievance, complaint, appeal) without fear of reprisal.	41	40	43	36	49
My department or agency does a good job of supporting employee career development.	42	41	44	37	52
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months?	43	43	46	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Conflict between my work obligations and my family or personal obligations	43a	43a	46a	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Lack of access to learning opportunities	43b	43b	46c	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Discrimination	43c	43c	46g	N/A	N/A
To what extent have the following adversely affected your career progress in the federal public service over the last 12 months? Accessibility or accommodation issues	43d	43d	46h	N/A	N/A
I believe I have opportunities for promotion within my department or agency, given my education, skills and experience.	44	42	45	38	53
I feel I would be supported by my department or agency if I proposed a new idea.	45	44	47	39	54
I think that my department or agency respects individual differences (e.g., culture, work styles, ideas, abilities).	46	45	48	41	56
My department or agency implements activities and practices that support a diverse workforce.	47	46	49	40	55
My department or agency implements initiatives that promote anti-racism in the workplace.	48	47	N/A	N/A	N/A
I would feel comfortable sharing concerns about racism in the workplace with a person of authority. (e.g., immediate supervisor, senior manager, ombudsperson, human resources advisor)table 1 note**	49	48	N/A	N/A	N/A
I feel that racism in my department or agency has had an adverse or negative impact on my mental health.table 1 note*	50	N/A	N/A	N/A	N/A
I feel that the Call to Action on Anti-Racism, Equity and Inclusion has had a positive impact in my department or agency, since it launched in January 2021.table 1 note*	51	N/A	N/A	N/A	N/A
Overall, my department or agency treats me with respect.	52	49	50	42	57
I would recommend my department or agency as a great place to work.	53	50	51	43	58
I am satisfied with my department or agency.	54	51	52	44	59
I would prefer to remain with my department or agency, even if a comparable job was available elsewhere in the federal public service.	55	52	53	45	60
Do you intend to leave your current position in the next two years?table 1 note**	56	53	54	46	61
Having carefully read the definition of harassment, have you been the victim of harassment on the job in the past 12 months?	57	55	58	48	N/A
From whom did you experience harassment on the job?	58	56	59	49	N/A
Please indicate the nature of the harassment you experienced.	59	57	60	50	N/A
What action(s) did you take to address the harassment you experienced?	60	58	61	51	N/A
Why did you not file a grievance or formal complaint about the harassment you experienced?table 1 note**	61	59	62	52	N/A
I am satisfied with how matters related to harassment are resolved in my department or agency.	62	60	64	53	69
My department or agency works hard to create a workplace that prevents harassment.	63	61	65	54	70
Having carefully read the definition of discrimination, have you been the victim of discrimination on the job in the past 12 months?	64	62	66	55	N/A
From whom did you experience discrimination on the job?	65	63	67	56	N/A
Please indicate the type of discrimination you experienced.	66	64	68	57	N/A
What action(s) did you take to address the discrimination you experienced?	67	65	69	58	N/A
Why did you not file a grievance or a formal complaint about the discrimination you experienced?table 1 note**	68	66	70	59	N/A
I am satisfied with how matters related to discrimination are resolved in my department or agency.	69	67	72	60	81
My department or agency works hard to create a workplace that prevents discrimination.	70	68	73	61	82
I am satisfied with how concerns or complaints about racism in the workplace are resolved in my department or agency.	71	69	N/A	N/A	N/A
Overall, to what extent do the following factors cause you work-related stress?	72	70	74	62	83
Overall, to what extent do the following factors cause you work-related stress? Pay or other compensation-related issues	72a	70b	74a	62a	83a
Overall, to what extent do the following factors cause you work-related stress? Heavy workload	72b	70c	74b	62b	83b
Overall, to what extent do the following factors cause you work-related stress? Unreasonable deadlines	72c	70d	74c	62c	83c
Overall, to what extent do the following factors cause you work-related stress? Not enough employees to do the work	72d	70e	74d	62d	83d
Overall, to what extent do the following factors cause you work-related stress? Overtime or long work hours	72e	70f	74e	62e	83e
Overall, to what extent do the following factors cause you work-related stress? Balancing work and personal life	72f	70g	74f	62f	83f
Overall, to what extent do the following factors cause you work-related stress? Lack of control or input in decision-making	72g	70i	74g	62g	83g
Overall, to what extent do the following factors cause you work-related stress? Competing or constantly changing priorities	72h	70j	74h	62h	83h
Overall, to what extent do the following factors cause you work-related stress? Lack of clear expectations	72i	70k	74i	62i	83i
Overall, to what extent do the following factors cause you work-related stress? Lack of recognition	72j	70l	74j	N/A	N/A
Overall, to what extent do the following factors cause you work-related stress? Feeling disconnected from colleagues	72k	70m	N/A	N/A	N/A
Overall, to what extent do the following factors cause you work-related stress? Information overload	72l	70n	74k	62j	83j
Overall, to what extent do the following factors cause you work-related stress? Physical work environment	72m	70o	74l	62k	83k
Overall, to what extent do the following factors cause you work-related stress? Difficulty accessing my work tools or network (e.g., work email, work device, ergonomic equipment)	72n	70p	N/A	N/A	N/A
Overall, to what extent do the following factors cause you work-related stress? Accessibility or accommodations issues	72o	70q	74m	62l	N/A
Overall, to what extent do the following factors cause you work-related stress? Harassment or discrimination	72p	70r	74n	62m	83l
Overall, to what extent do the following factors cause you work-related stress? Issues with my co-workers	72q	70s	74o	62n	83m
Overall, to what extent do the following factors cause you work-related stress? Issues with individuals with authority over me	72r	70t	74p	62o	83n
Overall, to what extent do the following factors cause you work-related stress? Issues with individuals working for me	72s	70u	74q	62p	83o
Overall, to what extent do the following factors cause you work-related stress? Issues with other individuals (e.g., members of the public, individuals from other departments or agencies)	72t	70v	74r	62q	83p
Overall, to what extent do the following factors cause you work-related stress? Lack of job security	72u	70w	74s	62r	83q
Overall, to what extent do the following factors cause you work-related stress? Personal issues	72v	70x	74t	62s	83r
Overall, my level of work-related stress is…	73	72	75	63	84
After my workday, I feel emotionally drained.	74	73	76	64	85
My department or agency does a good job of raising awareness of mental health in the workplace.	75	74	77	65	86
In general, how is your mental health?table 1 note*	76	N/A	N/A	N/A	N/A
My immediate supervisor supports my mental health and well-being.	77	77	N/A	N/A	N/A
I would feel comfortable sharing concerns with my immediate supervisor about my mental health.	78	76	N/A	N/A	N/A
I would feel comfortable sharing concerns with my immediate supervisor about my physical health and safety.	79	81	N/A	N/A	N/A
I would describe my workplace as being psychologically healthy.	80	78	78	66	87
Are you a supervisor?	81	83	32	27	38
I am equipped to support employees in my work unit who are experiencing mental health issues.	82	84	33	N/A	N/A
Having carefully read the definition of duty to accommodate, have you requested workplace accommodation measures in the last two years?	83	88	79	N/A	88
Were the requests for workplace accommodation measures related to a disability?	84	89	N/A	N/A	N/A
Were any workplace accommodation measures implemented?	85	90	80	N/A	89
I am satisfied with the workplace accommodation measures that were implemented.	86	91	81	N/A	90
I would feel comfortable requesting workplace accommodation measures from my immediate supervisor.	87	92	N/A	N/A	N/A
In the last 12 months, has your pay or other compensation been affected by issues with the Phoenix pay system?	88	93	N/A	N/A	N/A
Have all your pay or other compensation issues been resolved?	89	94	N/A	N/A	N/A
I am satisfied with the support (e.g., regular information, follow-up, making enquiries on my behalf, offering emergency or priority pay) I received from my department or agency to help resolve my pay or other compensation issues.	90	95	N/A	N/A	N/A
I am satisfied with the support I received from the Pay Centre to help resolve my pay or other compensation issues.table 1 note**	91	96	N/A	N/A	N/A
To what extent have issues with the Phoenix pay system affected your decision to seek or accept another position (e.g., deployment, promotion, secondment, assignment, acting assignment) within your organization or the federal public service?	92	97	87	73	N/A
Which of the following best describes your current work arrangement?table 1 note*	93	N/A	N/A	N/A	N/A
In general, which of the following best describes the percentage of time you spend working at a Government of Canada location?table 1 note*	94	N/A	N/A	N/A	N/A
When working at a Government of Canada location, do you usually work there on the same days of the week?table 1 note*	95	N/A	N/A	N/A	N/A
In general, which of the following activities do you feel are best completed at a Government of Canada location?table 1 note*	96	N/A	N/A	N/A	N/A
